asOfDate,RealCoupon,ModelCoupon,PercentError
5/5/2006,6.1718,6.325224975,0.024859032
5/8/2006,6.18394,6.337556047,0.024841128
5/9/2006,6.18872,6.339765032,0.024406506
5/10/2006,6.19707,6.34586585,0.024010678
5/11/2006,6.22021,6.371673051,0.024350151
5/12/2006,6.26368,6.419131121,0.024817858
5/15/2006,6.24133,6.389099535,0.023675969
5/16/2006,6.19369,6.335749035,0.022936091
5/17/2006,6.24194,6.393618599,0.024299913
5/18/2006,6.18733,6.33542746,0.023935601
5/19/2006,6.19903,6.35019379,0.024385072
5/22/2006,6.20311,6.347227038,0.02323303
5/23/2006,6.22234,6.364815356,0.022897392
5/24/2006,6.21225,6.341998063,0.02088584
5/25/2006,6.23265,6.373837253,0.022652845
5/26/2006,6.21195,6.355922961,0.023176774
5/30/2006,6.25047,6.382938252,0.021193327
5/31/2006,6.28572,6.418649754,0.021147896
6/1/2006,6.28186,6.400108177,0.018823752
6/2/2006,6.16329,6.282972974,0.019418683
6/5/2006,6.19509,6.313720909,0.019149182
6/6/2006,6.18614,6.302363119,0.018787664
6/7/2006,6.21197,6.316263709,0.016789152
6/8/2006,6.18785,6.293081196,0.0170061
6/9/2006,6.17939,6.280345257,0.016337415
6/12/2006,6.20035,6.276034995,0.012206568
6/13/2006,6.18622,6.254764489,0.011080189
6/14/2006,6.27295,6.350922846,0.012430012
6/15/2006,6.31432,6.404009366,0.014204121
6/16/2006,6.33511,6.438282787,0.016285871
6/19/2006,6.34836,6.457393682,0.017175094
6/20/2006,6.36772,6.469827168,0.016035122
6/21/2006,6.37557,6.479877356,0.016360475
6/22/2006,6.41959,6.520525325,0.015723017
6/23/2006,6.45996,6.557993176,0.015175508
6/26/2006,6.48238,6.563081821,0.012449412
6/27/2006,6.44877,6.534809619,0.01334202
6/28/2006,6.46466,6.570599034,0.01638741
6/29/2006,6.41651,6.516867201,0.015640465
6/30/2006,6.37105,6.462765779,0.014395709
7/3/2006,6.3934,6.481425636,0.013768204
7/5/2006,6.46164,6.556097324,0.014618166
7/6/2006,6.42768,6.517089984,0.013910149
7/7/2006,6.37728,6.463429629,0.013508836
7/10/2006,6.37626,6.460618898,0.013230153
7/11/2006,6.35726,6.433295275,0.011960385
7/12/2006,6.35306,6.429105881,0.011969961
7/13/2006,6.33821,6.412541108,0.011727461
7/14/2006,6.33093,6.408179503,0.01220192
7/17/2006,6.33844,6.414915191,0.012065302
7/18/2006,6.38524,6.478489185,0.014603865
7/19/2006,6.30891,6.391483406,0.013088379
7/20/2006,6.26198,6.350720864,0.014171374
7/21/2006,6.26926,6.362445988,0.014863953
7/24/2006,6.26827,6.35222402,0.013393491
7/25/2006,6.28745,6.36834806,0.012866593
7/26/2006,6.24659,6.334612246,0.014091248
7/27/2006,6.23661,6.33990251,0.016562285
7/28/2006,6.16396,6.287304919,0.020010662
7/31/2006,6.157,6.272506842,0.018760247
8/1/2006,6.14776,6.275762791,0.020821046
8/2/2006,6.1257,6.254541055,0.02103287
8/3/2006,6.14072,6.254277416,0.018492525
8/4/2006,6.052,6.186103649,0.022158567
8/7/2006,6.09028,6.202995863,0.018507501
8/8/2006,6.06446,6.177946446,0.018713364
8/9/2006,6.06042,6.172190939,0.018442771
8/10/2006,6.06588,6.181063747,0.018988794
8/11/2006,6.1083,6.222822725,0.018748707
8/14/2006,6.15487,6.255271803,0.016312579
8/15/2006,6.05662,6.178123503,0.020061272
8/16/2006,5.96852,6.116070297,0.024721421
8/17/2006,5.98775,6.103493556,0.019330058
8/18/2006,5.95802,6.072986247,0.019296049
8/21/2006,5.97864,6.067067993,0.014790654
8/22/2006,5.96177,6.069158768,0.0180129
8/23/2006,5.96807,6.085795749,0.019725933
8/24/2006,5.96254,6.090287053,0.021424938
8/25/2006,5.98067,6.07880106,0.016408038
8/28/2006,5.96424,6.088556448,0.020843636
8/29/2006,5.95256,6.082510883,0.021831092
8/30/2006,5.97019,6.06464348,0.01582085
8/31/2006,5.94217,6.028421322,0.014515122
9/1/2006,5.92844,6.008990901,0.0135872
9/5/2006,5.96084,6.040813102,0.013416415
9/6/2006,5.96864,6.051670034,0.013911047
9/7/2006,5.95526,6.051031145,0.016081774
9/8/2006,5.93338,6.034051719,0.01696701
9/11/2006,5.95898,6.066846521,0.018101507
9/12/2006,5.94017,6.046289798,0.017864775
9/13/2006,5.94056,6.047113071,0.017936536
9/14/2006,5.97232,6.07287325,0.016836548
9/15/2006,5.95972,6.090546426,0.021951774
9/18/2006,5.97548,6.103937212,0.021497388
9/19/2006,5.93924,6.038385524,0.016693302
9/20/2006,5.93042,6.025943654,0.016107401
9/21/2006,5.85597,5.944857343,0.015178927
9/22/2006,5.82063,5.927693353,0.018393774
9/25/2006,5.78502,5.90074095,0.020003552
9/26/2006,5.81463,5.915309781,0.017314908
9/27/2006,5.82374,5.925162127,0.017415291
9/28/2006,5.84481,5.94194305,0.016618684
9/29/2006,5.86441,5.958934755,0.016118374
10/2/2006,5.84966,5.947554665,0.016735103
10/3/2006,5.83864,5.939837457,0.017332368
10/4/2006,5.77873,5.896006663,0.020294539
10/5/2006,5.81752,5.934919184,0.02018028
10/6/2006,5.90327,6.006697048,0.017520298
10/10/2006,5.95749,6.063012083,0.017712507
10/11/2006,5.96583,6.091018522,0.020984259
10/12/2006,5.97705,6.080018775,0.017227357
10/13/2006,5.98671,6.093743192,0.017878466
10/16/2006,5.95948,6.07144291,0.018787362
10/17/2006,5.94472,6.05996709,0.019386462
10/18/2006,5.93335,6.039863153,0.017951605
10/19/2006,5.96276,6.061832723,0.016615246
10/20/2006,5.95696,6.056720572,0.016746893
10/23/2006,5.96406,6.094000412,0.021787241
10/24/2006,5.9672,6.087610446,0.020178718
10/25/2006,5.95115,6.036799136,0.014392031
10/26/2006,5.89961,5.982342073,0.014023312
10/27/2006,5.86557,5.945046352,0.013549638
10/30/2006,5.8671,5.941656314,0.012707524
10/31/2006,5.80171,5.885031433,0.01436153
11/1/2006,5.75928,5.854539395,0.016540157
11/2/2006,5.78378,5.876022001,0.015948394
11/3/2006,5.88299,5.995184819,0.019071054
11/6/2006,5.87026,5.977585322,0.018282891
11/7/2006,5.82192,5.931511349,0.018823919
11/8/2006,5.79337,5.900913982,0.018563286
11/9/2006,5.78174,5.885170382,0.017889144
11/10/2006,5.74642,5.857753541,0.019374418
11/13/2006,5.77515,5.869119691,0.016271385
11/14/2006,5.74146,5.838533436,0.016907448
11/15/2006,5.77565,5.873822429,0.016997642
11/16/2006,5.79681,5.894213224,0.016802901
11/17/2006,5.72502,5.831911672,0.018670969
11/20/2006,5.71107,5.821526068,0.019340696
11/21/2006,5.71028,5.807760504,0.017071055
11/22/2006,5.70866,5.798919893,0.015811047
11/24/2006,5.70001,5.781806437,0.014350227
11/27/2006,5.68837,5.77129184,0.014577434
11/28/2006,5.65634,5.744745191,0.015629398
11/29/2006,5.65536,5.753737076,0.017395369
11/30/2006,5.57153,5.699900859,0.023040504
12/1/2006,5.51164,5.650505667,0.025194981
12/4/2006,5.50335,5.654581285,0.027479859
12/5/2006,5.50829,5.650704427,0.025854562
12/6/2006,5.56671,5.686204994,0.021465999
12/7/2006,5.59388,5.725136702,0.02346434
12/8/2006,5.66464,5.783137932,0.020918881
12/11/2006,5.63028,5.753904189,0.021957023
12/12/2006,5.57128,5.710524519,0.024993272
12/13/2006,5.65971,5.774471887,0.020276991
12/14/2006,5.68114,5.787321677,0.018690206
12/15/2006,5.68714,5.787339493,0.017618608
12/18/2006,5.69459,5.786731439,0.016180522
12/19/2006,5.70048,5.794791135,0.01654442
12/20/2006,5.69257,5.788839791,0.016911481
12/21/2006,5.63329,5.742681153,0.019418697
12/22/2006,5.70687,5.813853378,0.018746419
12/26/2006,5.6947,5.794766581,0.017571879
12/27/2006,5.74329,5.838114338,0.016510456
12/28/2006,5.77848,5.866265218,0.015191749
12/29/2006,5.78466,5.876007119,0.015791268
1/2/2007,5.75132,5.851790552,0.017469129
1/3/2007,5.70619,5.810021029,0.01819621
1/4/2007,5.64398,5.757679855,0.020145333
1/5/2007,5.6641,5.762489845,0.017370782
1/8/2007,5.68939,5.774613045,0.014979294
1/9/2007,5.69234,5.769568315,0.013567059
1/10/2007,5.73098,5.801707063,0.012341181
1/11/2007,5.78313,5.856191461,0.01263355
1/12/2007,5.79949,5.872322104,0.012558364
1/16/2007,5.79288,5.850457264,0.009939316
1/17/2007,5.82895,5.880949168,0.008920846
1/18/2007,5.80081,5.846936571,0.007951747
1/19/2007,5.82398,5.869481592,0.0078128
1/22/2007,5.81193,5.857036501,0.007761019
1/23/2007,5.85716,5.887153556,0.005120836
1/24/2007,5.86891,5.892980422,0.004101345
1/25/2007,5.93337,5.967569936,0.005763999
1/26/2007,5.94379,5.981384277,0.006324967
1/29/2007,5.96445,6.001170011,0.006156479
1/30/2007,5.95304,5.980009209,0.004530326
1/31/2007,5.89771,5.920759963,0.00390829
2/1/2007,5.89772,5.92147628,0.004028045
2/2/2007,5.86395,5.883561165,0.003344361
2/5/2007,5.8258,5.852584567,0.004597578
2/6/2007,5.78845,5.81800424,0.005105726
2/7/2007,5.7765,5.8104374,0.00587508
2/8/2007,5.77907,5.800667264,0.003737152
2/9/2007,5.83455,5.862220359,0.004742501
2/12/2007,5.8661,5.877382407,0.001923323
2/13/2007,5.874,5.876848418,0.00048492
2/14/2007,5.78171,5.80100674,0.003337549
2/15/2007,5.76575,5.787225696,0.003724701
2/16/2007,5.76704,5.796804389,0.005161121
2/20/2007,5.75967,5.79456652,0.006058771
2/21/2007,5.76648,5.794332299,0.004830035
2/22/2007,5.79825,5.823242799,0.004310404
2/23/2007,5.76857,5.794674718,0.004525336
2/26/2007,5.73856,5.769724228,0.00543067
2/27/2007,5.666,5.69562592,0.005228719
2/28/2007,5.69793,5.721766769,0.004183409
3/1/2007,5.70088,5.742882188,0.007367667
3/2/2007,5.6857,5.739920015,0.009536208
3/5/2007,5.69602,5.734260305,0.006713513
3/6/2007,5.68031,5.710631006,0.005337914
3/7/2007,5.64065,5.683014501,0.007510571
3/8/2007,5.63625,5.677676435,0.00735
3/9/2007,5.70828,5.749653517,0.007247983
3/12/2007,5.6818,5.716984528,0.006192497
3/13/2007,5.62499,5.668923872,0.00781048
3/14/2007,5.64978,5.692937328,0.007638763
3/15/2007,5.66107,5.693716539,0.00576685
3/16/2007,5.67116,5.698698207,0.004855833
3/19/2007,5.68532,5.712705709,0.004816916
3/20/2007,5.65758,5.686793933,0.00516368
3/21/2007,5.61128,5.63520647,0.004263995
3/22/2007,5.67216,5.708102389,0.006336632
3/23/2007,5.70792,5.732915649,0.004379117
3/26/2007,5.69346,5.721320024,0.004893338
3/27/2007,5.72023,5.739241354,0.00332353
3/28/2007,5.73479,5.752244326,0.003043586
3/29/2007,5.74611,5.754113008,0.00139277
3/30/2007,5.76151,5.764687647,0.00055153
4/2/2007,5.75504,5.760312728,0.000916193
4/3/2007,5.76023,5.785469999,0.004381769
4/4/2007,5.75562,5.779765509,0.004195119
4/5/2007,5.76985,5.787911984,0.003130408
4/9/2007,5.83389,5.850940304,0.00292263
4/10/2007,5.816,5.830826752,0.002549304
4/11/2007,5.82867,5.836494694,0.001342449
4/12/2007,5.83404,5.82835389,0.000974644
4/13/2007,5.85428,5.841877223,0.002118583
4/16/2007,5.83698,5.820377588,0.00284435
4/17/2007,5.79239,5.777863201,0.002507911
4/18/2007,5.76155,5.751163932,0.001802652
4/19/2007,5.767,5.768893523,0.000328338
4/20/2007,5.77947,5.782861678,0.000586849
4/23/2007,5.76361,5.759289758,0.000749572
4/24/2007,5.73675,5.729016145,0.001348125
4/25/2007,5.76223,5.75531634,0.001199824
4/26/2007,5.80346,5.7970541,0.001103807
4/27/2007,5.82011,5.811391866,0.001497933
4/30/2007,5.769,5.753517952,0.002683662
5/1/2007,5.78013,5.76947868,0.001842748
5/2/2007,5.77791,5.770665291,0.001253863
5/3/2007,5.80799,5.794728795,0.002283269
5/4/2007,5.77033,5.764120602,0.001076091
5/7/2007,5.76324,5.767567107,0.000750812
5/8/2007,5.76477,5.770327622,0.000964067
5/9/2007,5.79797,5.802189509,0.000727756
5/10/2007,5.78653,5.780934645,0.000966962
5/11/2007,5.80676,5.801542683,0.00089849
5/14/2007,5.83042,5.810923582,0.003343913
5/15/2007,5.84727,5.831477639,0.002700809
5/16/2007,5.84391,5.8283156,0.002668487
5/17/2007,5.8856,5.864254086,0.003626803
5/18/2007,5.92507,5.928074841,0.00050714
5/21/2007,5.91467,5.898036715,0.002812208
5/22/2007,5.94901,5.924256137,0.004161005
5/23/2007,5.97429,5.958284779,0.002679016
5/24/2007,5.98156,5.957816644,0.003969425
5/25/2007,5.96443,5.962194753,0.000374763
5/29/2007,5.99219,5.987415269,0.000796826
5/30/2007,5.99207,5.988076665,0.000666437
5/31/2007,6.00727,6.010621198,0.000557857
6/1/2007,6.07372,6.071097896,0.000431713
6/4/2007,6.06,6.047315078,0.002093221
6/5/2007,6.11896,6.084450612,0.005639747
6/6/2007,6.12429,6.082758684,0.006781409
6/7/2007,6.26442,6.234705004,0.004743455
6/8/2007,6.28132,6.269583251,0.001868516
6/11/2007,6.28557,6.275323549,0.001630155
6/12/2007,6.38983,6.427748378,0.005934176
6/13/2007,6.36267,6.365874903,0.000503704
6/14/2007,6.35536,6.368670288,0.002094341
6/15/2007,6.29718,6.300571248,0.000538534
6/18/2007,6.27743,6.256384039,0.00335264
6/19/2007,6.22539,6.209812727,0.002502216
6/20/2007,6.28873,6.269976477,0.002982084
6/21/2007,6.32487,6.324731079,2.20E-05
6/22/2007,6.30384,6.305963079,0.000336791
6/25/2007,6.2647,6.259517584,0.000827241
6/26/2007,6.28234,6.27749325,0.000771488
6/27/2007,6.26639,6.259989223,0.001021446
6/28/2007,6.2982,6.300194829,0.00031673
6/29/2007,6.25387,6.248359608,0.000881117
7/2/2007,6.22665,6.221071518,0.000895904
7/3/2007,6.25963,6.259573643,9.00E-06
7/5/2007,6.3398,6.346192906,0.001008377
7/6/2007,6.3727,6.401206763,0.004473263
7/9/2007,6.35041,6.363098831,0.001998112
7/10/2007,6.28291,6.304771096,0.003479454
7/11/2007,6.3107,6.33775827,0.004287681
7/12/2007,6.33541,6.355833116,0.003223645
7/13/2007,6.33145,6.347309385,0.002504858
7/16/2007,6.30073,6.289189825,0.001831562
7/17/2007,6.33529,6.325246293,0.001585359
7/18/2007,6.28572,6.269636508,0.002558735
7/19/2007,6.30406,6.275030387,0.004604907
7/20/2007,6.265,6.251248039,0.002195046
7/23/2007,6.28112,6.259224773,0.003485879
7/24/2007,6.28258,6.277214108,0.00085409
7/25/2007,6.27441,6.261463284,0.002063416
7/26/2007,6.2137,6.23949881,0.004151924
7/27/2007,6.21896,6.283697399,0.010409682
7/30/2007,6.24717,6.277860639,0.004912727
7/31/2007,6.22355,6.23291814,0.001505273
8/1/2007,6.20234,6.206931753,0.000740326
8/2/2007,6.17056,6.177743676,0.001164185
8/3/2007,6.10397,6.1359165,0.005233725
8/6/2007,6.12133,6.163834713,0.006943705
8/7/2007,6.10728,6.135710503,0.004655182
8/8/2007,6.16603,6.197722499,0.005139855
8/9/2007,6.12613,6.18326146,0.009325865
8/10/2007,6.15063,6.193560807,0.006979904
8/13/2007,6.16927,6.189746666,0.003319139
8/14/2007,6.1677,6.168526411,0.00013399
8/15/2007,6.20664,6.151795345,0.008836449
8/16/2007,6.14169,6.123087609,0.003028872
8/17/2007,6.11128,6.142810032,0.005159317
8/20/2007,6.07633,6.102499067,0.004306723
8/21/2007,6.01298,6.062798736,0.008285199
8/22/2007,6.02985,6.06705954,0.00617089
8/23/2007,6.02021,6.048919458,0.004768847
8/24/2007,5.98703,6.004399918,0.002901258
8/27/2007,5.97041,5.964474756,0.00099411
8/28/2007,5.9438,5.945802336,0.000336878
8/29/2007,5.97927,5.974155361,0.000855395
8/30/2007,5.97114,5.928665168,0.007113354
8/31/2007,5.99344,5.961764809,0.005284977
9/4/2007,6.01567,5.969065036,0.007747261
9/5/2007,5.92707,5.89449809,0.005495449
9/6/2007,5.9335,5.895127626,0.006467072
9/7/2007,5.76133,5.768602122,0.00126223
9/10/2007,5.73113,5.751727118,0.003593902
9/11/2007,5.80365,5.816301603,0.002179939
9/12/2007,5.87022,5.865633399,0.000781334
9/13/2007,5.9126,5.916227688,0.000613552
9/14/2007,5.89106,5.887806864,0.000552216
9/17/2007,5.894,5.907806304,0.002342434
9/18/2007,5.79823,5.832175962,0.005854539
9/19/2007,5.795,5.823189096,0.004864382
9/20/2007,5.96554,6.000149308,0.005801538
9/21/2007,5.95164,5.974764658,0.003885426
9/24/2007,5.97496,5.977336206,0.000397694
9/25/2007,5.97037,5.99058279,0.003385517
9/26/2007,5.98048,5.974410499,0.001014885
9/27/2007,5.92373,5.913891298,0.001660896
9/28/2007,5.95066,5.925060963,0.004301882
10/1/2007,5.93729,5.925453981,0.001993505
10/2/2007,5.91811,5.879732694,0.006484723
10/3/2007,5.90551,5.878247488,0.004616453
10/4/2007,5.88909,5.869368791,0.00334877
10/5/2007,5.98487,5.981387503,0.000581884
10/9/2007,5.98408,5.97901923,0.000845706
10/10/2007,5.98497,5.947338961,0.00628759
10/11/2007,5.9681,5.9211478,0.007867194
10/12/2007,5.98161,5.944392856,0.006221927
10/15/2007,5.98213,5.928827751,0.008910246
10/16/2007,5.9741,5.928693721,0.007600522
10/17/2007,5.90414,5.859908981,0.007491526
10/18/2007,5.85501,5.828475554,0.004531921
10/19/2007,5.78826,5.743344087,0.00775983
10/22/2007,5.79053,5.739712631,0.008775944
10/23/2007,5.77363,5.733467143,0.006956257
10/24/2007,5.68865,5.678758994,0.001738726
10/25/2007,5.69814,5.702304531,0.000730858
10/26/2007,5.7513,5.728055795,0.004041557
10/29/2007,5.74053,5.723829221,0.002909275
10/30/2007,5.74383,5.707453285,0.006333181
10/31/2007,5.82636,5.764694883,0.010583815
11/1/2007,5.76173,5.706038728,0.00966572
11/2/2007,5.72404,5.661667585,0.010896572
11/5/2007,5.81429,5.716941797,0.016742922
11/6/2007,5.86598,5.760365396,0.018004597
11/7/2007,5.87137,5.781884713,0.015240955
11/8/2007,5.85192,5.775503123,0.013058428
11/9/2007,5.81494,5.716506231,0.016927736
11/13/2007,5.83079,5.712191192,0.020340092
11/14/2007,5.81237,5.698091063,0.019661332
11/15/2007,5.74313,5.639127283,0.018109065
11/16/2007,5.77368,5.62582976,0.025607626
11/19/2007,5.74195,5.617104571,0.021742688
11/20/2007,5.80547,5.639811652,0.028534873
11/21/2007,5.72955,5.619128437,0.019272292
11/23/2007,5.66973,5.582245579,0.015430086
11/26/2007,5.47701,5.430897437,0.008419295
11/27/2007,5.62014,5.552182124,0.012091848
11/28/2007,5.58194,5.568289457,0.002445484
11/29/2007,5.48448,5.494941204,0.00190742
11/30/2007,5.43923,5.456552905,0.003184808
12/3/2007,5.39401,5.401816914,0.00144733
12/4/2007,5.39349,5.410281161,0.003113227
12/5/2007,5.40073,5.411182159,0.001935323
12/6/2007,5.49202,5.480375755,0.002120212
12/7/2007,5.68009,5.623487995,0.009964984
12/10/2007,5.7185,5.650631682,0.011868203
12/11/2007,5.54528,5.541292637,0.000719055
12/12/2007,5.59488,5.548812776,0.008233818
12/13/2007,5.66802,5.595911609,0.012721972
12/14/2007,5.75288,5.664145262,0.015424403
12/17/2007,5.73971,5.630607548,0.019008356
12/18/2007,5.61771,5.531491644,0.015347598
12/19/2007,5.53357,5.494828498,0.007001177
12/20/2007,5.52723,5.476078405,0.009254472
12/21/2007,5.68464,5.593690519,0.015999163
12/24/2007,5.74257,5.639733236,0.017907795
12/26/2007,5.79908,5.693654236,0.01817974
12/27/2007,5.73511,5.635183395,0.01742366
12/28/2007,5.59539,5.537868458,0.010280167
12/31/2007,5.5067,5.49243205,0.002591016
1/2/2008,5.39414,5.371383331,0.004218776
1/3/2008,5.3789,5.366385821,0.002326531
1/4/2008,5.28617,5.293866021,0.001455878
1/7/2008,5.23878,5.248783933,0.001909592
1/8/2008,5.25517,5.214816239,0.007678869
1/9/2008,5.2107,5.19224965,0.003540858
1/10/2008,5.28583,5.246901584,0.007364674
1/11/2008,5.17318,5.143422862,0.005752195
1/14/2008,5.13481,5.119705419,0.002941605
1/15/2008,5.04364,5.04593675,0.000455376
1/16/2008,5.12728,5.067414584,0.011675863
1/17/2008,5.04624,4.999274118,0.009307104
1/18/2008,5.07507,5.009307859,0.012957879
1/22/2008,4.82456,4.851295259,0.005541492
1/23/2008,4.86534,4.8413812,0.004924383
1/24/2008,5.20552,5.08601124,0.022958083
1/25/2008,5.08433,5.029638962,0.010756784
1/28/2008,5.03004,5.010795748,0.003825865
1/29/2008,5.11346,5.062567088,0.009952735
1/30/2008,5.18726,5.101562748,0.016520716
1/31/2008,5.12147,5.042678444,0.015384559
2/1/2008,5.07129,4.996348714,0.014777559
2/4/2008,5.14855,5.02073335,0.024825757
2/5/2008,5.04078,4.967543136,0.014528875
2/6/2008,5.11977,4.994672021,0.024434297
2/7/2008,5.26285,5.117562296,0.027606279
2/8/2008,5.20211,5.056878557,0.027917796
2/11/2008,5.19384,5.057301696,0.026288508
2/12/2008,5.25661,5.113230919,0.027275959
2/13/2008,5.32945,5.135875917,0.036321587
2/14/2008,5.51998,5.324801218,0.035358603
2/15/2008,5.50329,5.302037676,0.036569456
2/19/2008,5.73451,5.434753802,0.05227233
2/20/2008,5.76701,5.466559431,0.052098153
2/21/2008,5.5927,5.35001205,0.043393701
2/22/2008,5.71944,5.402731637,0.055374016
2/25/2008,5.86195,5.499071668,0.06190403
2/26/2008,5.78509,5.397686624,0.066965834
2/27/2008,5.69071,5.33982605,0.061659081
2/28/2008,5.4989,5.222352769,0.050291373
2/29/2008,5.35969,5.073773431,0.053345729
3/3/2008,5.43774,5.085508337,0.064775378
3/4/2008,5.63182,5.192271165,0.078047387
3/5/2008,5.81134,5.338358497,0.081389405
3/6/2008,5.94293,5.39974653,0.091399944
3/7/2008,5.79413,5.315343119,0.082633093
3/10/2008,5.76087,5.233883206,0.091476946
3/11/2008,5.77938,5.271821348,0.087822336
3/12/2008,5.50334,5.121408942,0.069399866
3/13/2008,5.5453,5.149181592,0.071433179
3/14/2008,5.47714,5.044765982,0.078941568
3/17/2008,5.08274,4.87059263,0.041738781
3/18/2008,5.26363,4.950507936,0.059487856
3/19/2008,5.1225,4.809182352,0.061164987
3/20/2008,5.06543,4.845812148,0.043356211
3/24/2008,5.3473,5.044166221,0.056689129
3/25/2008,5.30409,5.025681293,0.052489439
3/26/2008,5.29599,5.016824929,0.052712537
3/27/2008,5.39164,5.054131558,0.062598475
3/28/2008,5.28215,4.953068849,0.062300607
3/31/2008,5.26202,4.894700895,0.069805722
4/1/2008,5.36824,4.959861215,0.076073124
4/2/2008,5.43194,5.013012193,0.077123055
4/3/2008,5.37571,5.026814388,0.064902238
4/4/2008,5.16736,4.899643699,0.051809106
4/7/2008,5.23363,4.974011556,0.049605808
4/8/2008,5.28216,4.963411866,0.060344279
4/9/2008,5.19316,4.877383231,0.060806285
4/10/2008,5.2699,4.961097235,0.058597462
4/11/2008,5.2083,4.928626272,0.053697699
4/14/2008,5.2727,4.974093445,0.056632571
4/15/2008,5.38224,5.06885567,0.058225633
4/16/2008,5.54358,5.261570821,0.05087131
4/17/2008,5.57791,5.304648963,0.048989861
4/18/2008,5.48385,5.255951832,0.04155806
4/21/2008,5.42507,5.209348443,0.039763829
4/22/2008,5.38548,5.211927481,0.032226007
4/23/2008,5.4325,5.218050708,0.039475249
4/24/2008,5.51979,5.344527653,0.031751633
4/25/2008,5.5306,5.360976003,0.030670089
4/28/2008,5.49081,5.311203949,0.032710302
